timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_roll.pos,wrist_pitch.pos
83688.122841446,31.23321123321122,-100.0,92.50146455770357,-46.800195407914025,99.91423670668954
83688.15627957,31.23321123321122,-100.0,92.50146455770357,-46.800195407914025,99.91423670668954
83688.189759805,31.23321123321122,-100.0,92.50146455770357,-46.800195407914025,99.91423670668954
83688.223169455,31.23321123321122,-100.0,92.50146455770357,-46.800195407914025,99.91423670668954
83688.256564496,31.23321123321122,-100.0,92.50146455770357,-46.800195407914025,99.91423670668954
83688.290031042,31.23321123321122,-100.0,92.50146455770357,-46.800195407914025,99.91423670668954
83688.323423395,31.23321123321122,-100.0,92.50146455770357,-46.800195407914025,99.91423670668954
83688.357013281,31.23321123321122,-100.0,92.50146455770357,-46.800195407914025,99.91423670668954
83688.390408409,31.23321123321122,-100.0,92.50146455770357,-46.800195407914025,99.91423670668954
83688.42381046,31.23321123321122,-100.0,92.50146455770357,-46.800195407914025,99.91423670668954
83688.457194571,31.23321123321122,-100.0,92.50146455770357,-46.800195407914025,99.91423670668954
83688.490585521,31.23321123321122,-100.0,92.50146455770357,-46.800195407914025,99.91423670668954
83688.524107054,31.23321123321122,-100.0,92.50146455770357,-46.800195407914025,99.91423670668954
83688.557498584,31.23321123321122,-100.0,92.50146455770357,-46.800195407914025,99.91423670668954
83688.59110145,31.23321123321122,-100.0,92.50146455770357,-46.800195407914025,99.91423670668954
83688.624503711,31.23321123321122,-100.0,92.50146455770357,-46.800195407914025,99.91423670668954
83688.657989589,31.23321123321122,-100.0,92.50146455770357,-46.800195407914025,99.91423670668954
83688.691396323,31.23321123321122,-100.0,92.50146455770357,-46.800195407914025,99.91423670668954
83688.724809086,31.23321123321122,-100.0,92.50146455770357,-46.800195407914025,99.91423670668954
83688.7581933,31.23321123321122,-100.0,92.50146455770357,-46.800195407914025,99.91423670668954
83688.791586468,31.23321123321122,-100.0,92.50146455770357,-46.800195407914025,99.91423670668954
83688.824975782,31.23321123321122,-100.0,92.50146455770357,-46.800195407914025,99.91423670668954
83688.858379463,31.23321123321122,-100.0,92.50146455770357,-46.800195407914025,99.91423670668954
83688.89177125,31.23321123321122,-100.0,92.50146455770357,-46.800195407914025,99.91423670668954
83688.925190466,31.23321123321122,-100.0,92.50146455770357,-46.800195407914025,99.91423670668954
83688.958585241,31.23321123321122,-100.0,92.50146455770357,-46.800195407914025,99.91423670668954
83688.992159255,31.23321123321122,-100.0,92.50146455770357,-46.800195407914025,99.91423670668954
83689.025710185,31.23321123321122,-100.0,92.50146455770357,-46.800195407914025,99.91423670668954
83689.059184142,31.23321123321122,-100.0,92.50146455770357,-46.800195407914025,99.91423670668954
83689.092738883,31.23321123321122,-100.0,92.50146455770357,-46.800195407914025,99.91423670668954
83689.126148319,31.23321123321122,-100.0,92.50146455770357,-46.800195407914025,99.91423670668954
83689.159550272,31.23321123321122,-100.0,92.50146455770357,-46.800195407914025,99.91423670668954
83689.193147126,31.23321123321122,-100.0,92.50146455770357,-46.800195407914025,99.91423670668954
83689.226552015,31.23321123321122,-100.0,92.50146455770357,-46.800195407914025,99.91423670668954
83689.260188097,31.23321123321122,-100.0,92.50146455770357,-46.800195407914025,99.91423670668954
83689.293579617,31.23321123321122,-100.0,92.50146455770357,-46.800195407914025,99.91423670668954
83689.327208728,31.23321123321122,-100.0,92.50146455770357,-46.800195407914025,100.0
83689.360743023,31.23321123321122,-100.0,92.50146455770357,-46.800195407914025,100.0
83689.394159538,31.23321123321122,-100.0,92.50146455770357,-46.800195407914025,100.0
83689.427559074,31.33089133089132,-100.0,92.50146455770357,-46.800195407914025,100.0
83689.461048217,31.33089133089132,-100.0,92.50146455770357,-46.751343429408884,100.0
83689.494440492,31.28205128205127,-100.0,92.50146455770357,-46.751343429408884,100.0
83689.527830935,31.28205128205127,-100.0,92.50146455770357,-46.751343429408884,100.0
83689.561245422,31.33089133089132,-100.0,92.50146455770357,-46.751343429408884,100.0
83689.594864025,31.28205128205127,-100.0,92.50146455770357,-46.751343429408884,100.0
83689.628256797,31.28205128205127,-100.0,92.38429994141771,-46.65363947239863,100.0
83689.661661653,31.28205128205127,-100.0,92.38429994141771,-46.50708353688324,99.82847341337907
83689.695104801,31.28205128205127,-100.0,92.38429994141771,-46.31167562286272,99.82847341337907
83689.728504195,31.28205128205127,-100.0,92.26713532513179,-46.31167562286272,99.74271012006861
